n1,n2,exact_change,approx_change
4,5,28,54
8,10,144,233
6,10,64,115
4,7,10,43
8,9,105,169
6,8,76,128
4,8,7,40
8,10,81,130
6,7,106,147
4,9,19,61
8,10,154,236
6,10,72,111
4,5,17,40
8,9,127,217
6,8,50,78
4,6,2,23
8,9,143,213
6,7,88,160
4,8,9,37
8,10,72,184
6,10,63,100
4,9,3,13
8,9,125,197
6,8,66,115
4,10,10,23
8,9,193,265
6,7,74,151
4,6,17,63
8,10,106,175
6,9,64,128
4,7,7,25
8,10,60,142
6,8,55,70
4,8,12,39
8,9,109,169
6,7,90,127
4,10,10,39
8,10,128,207
6,9,45,76
4,5,13,45
8,10,134,186
6,8,68,118
4,7,6,12
8,9,131,195
6,10,46,92
4,8,18,61
8,10,108,193
6,9,50,91
4,9,5,21
8,10,174,251
6,8,26,91
4,5,13,35
8,9,101,168
6,10,87,147
4,6,6,21
8,9,130,206
6,9,94,160
4,8,10,21
8,10,158,252
6,8,57,102
4,9,23,48
8,9,166,197
6,10,26,96
4,10,2,17
8,9,93,165
6,9,26,87
4,6,15,29
8,10,159,229
6,7,62,97
4,7,24,52
8,10,104,181
6,10,45,94
4,8,16,41
8,9,176,246
6,9,42,84
4,10,11,50
8,10,112,256
6,7,75,147
4,5,10,43
8,10,121,214
6,10,32,113
4,7,39,76
8,9,116,191
6,8,119,158
4,8,16,34
8,10,77,162
6,7,96,148
4,9,8,26
8,10,148,210
6,10,83,111
4,5,15,21
8,9,156,244
6,8,53,76
4,6,17,31
8,9,93,151
6,7,95,145
4,8,6,21
8,10,120,186
6,10,67,118
4,9,35,50
8,9,148,242
6,8,69,129
4,10,12,31
8,9,191,289
6,7,124,168
4,6,23,56
8,10,103,180
6,9,62,119
4,7,13,33
8,10,119,229
6,8,41,112
4,9,40,74
8,9,109,194
6,7,110,172
4,10,13,44
8,10,115,219
6,9,49,99
4,5,38,56
8,10,119,217
6,8,113,151
4,7,34,41
8,9,145,222
6,10,66,122
3,8,24,41
7,10,60,114
5,6,64,98
3,5,19,27
7,8,61,101
5,6,44,74
3,10,3,11
7,9,52,128
5,8,32,62
3,7,3,6
7,8,74,161
5,8,37,63
3,5,15,27
7,9,84,141
5,10,31,69
3,9,3,24
7,10,75,122
5,10,8,33
3,6,18,41
7,9,76,129
5,10,8,67
3,4,29,41
7,10,48,142
5,7,71,104
3,8,12,28
7,9,79,116
5,7,32,53
3,6,17,33
7,10,72,157
5,7,32,39
3,10,5,27
7,8,68,140
5,9,47,77
3,7,0,18
7,10,94,175
5,9,22,78
3,5,11,16
7,8,92,149
5,6,22,36
3,9,17,44
7,10,95,150
5,6,68,95
3,6,49,62
7,8,109,177
5,6,16,28
3,4,50,67
7,9,111,183
5,8,26,53
3,8,9,22
7,8,65,119
5,8,38,65
3,6,2,19
7,9,77,136
5,10,19,41
3,10,14,29
7,10,41,112
5,10,7,33
3,7,2,21
7,9,88,166
5,10,18,57
3,5,3,12
7,10,42,120
5,7,36,77
3,9,9,35
7,9,74,125
5,7,77,106
3,7,16,33
7,10,115,200
5,7,31,66
3,4,6,6
7,8,86,140
5,9,19,50
3,8,22,28
7,10,75,144
5,9,34,98
3,6,1,13
7,8,101,186
5,6,36,87
3,10,6,15
7,10,62,106
5,6,60,71
3,7,4,15
7,8,68,149
5,6,56,116
3,5,13,13
7,9,148,247
5,8,38,85
3,9,4,17
7,8,92,138
5,8,76,119
3,7,8,37
7,9,120,216
5,10,42,83
3,4,26,28
7,10,30,102
5,10,30,61
3,8,18,30
7,9,122,175
5,10,34,74
3,6,5,17
7,10,88,149
5,7,20,53
3,10,0,3
7,9,70,152
5,7,60,119
3,8,13,41
7,10,115,130
5,9,49,105
3,5,15,38
7,8,160,230
5,9,17,30
3,9,5,14
7,10,34,89
5,9,61,84
3,7,21,30
7,8,121,153
5,6,33,46
3,4,5,29
7,10,58,107
5,6,56,92
3,9,5,29
7,8,63,113
5,6,72,113
3,6,0,16
7,9,91,167
5,8,13,46
3,10,5,21
7,8,74,157
4,9,23,53
8,10,89,130
6,10,48,121
4,5,37,60
8,9,106,185
6,8,40,96
4,6,0,20
8,10,156,248
6,7,80,115
4,7,7,17
8,10,96,172
6,10,26,75
4,9,9,36
8,9,154,220
6,8,77,130
4,10,6,30
8,9,127,217
6,7,41,61
4,6,15,47
8,10,90,188
6,10,55,104
4,7,16,51
8,9,110,207
6,8,77,127
4,8,15,32
8,9,141,215
6,7,58,120
4,10,2,37
8,10,91,161
6,9,95,134
4,5,27,47
8,10,100,188
6,8,88,155
4,6,52,63
8,9,130,212
6,7,43,76
4,8,7,27
8,10,159,245
6,9,61,103
4,9,18,28
8,10,88,167
6,8,115,176
4,5,22,30
8,9,114,159
6,10,43,93
4,6,12,33
8,10,143,244
6,9,66,109
4,7,43,43
8,10,207,283
6,8,92,150
4,9,32,57
8,9,128,234
6,10,47,100
4,10,7,26
8,9,132,170
6,9,49,109
4,6,18,31
8,10,154,248
6,8,53,129
4,7,34,70
8,9,107,194
6,10,85,147
4,8,6,39
8,9,185,267
6,9,36,82
4,10,18,22
8,10,134,196
6,7,62,106
4,5,53,81
8,10,116,163
6,10,63,123
4,6,15,41
8,9,109,191
6,9,75,154
4,8,8,17
8,10,69,140
6,7,87,125
4,9,10,30
8,10,118,220
6,10,53,96
4,5,26,59
8,9,163,240
6,8,104,150
4,6,9,39
8,9,125,185
6,7,46,106
4,7,10,37
8,10,92,178
6,10,47,108
4,9,19,50
8,9,145,210
6,8,44,85
4,10,14,45
8,9,167,269
6,7,43,64
4,6,20,57
8,10,111,190
6,9,59,120
4,7,10,24
8,9,118,212
6,8,85,90
4,8,25,36
8,9,102,164
6,7,71,125
4,10,11,22
8,10,124,191
6,9,56,109
4,5,29,44
8,10,136,201
6,8,89,116
4,7,22,42
8,9,112,224
6,7,82,129
4,8,16,36
8,10,116,165
6,9,64,167
4,9,24,48
8,10,124,196
6,8,49,124
4,5,41,57
8,9,211,263
6,10,62,125
4,6,39,59
8,9,190,237
6,9,68,147
4,7,6,27
8,10,119,224
5,9,39,65
3,6,12,19
7,10,47,118
5,6,92,121
3,10,8,16
7,9,59,133
5,6,65,118
3,8,16,21
7,10,102,157
5,8,23,67
3,5,11,16
7,8,114,192
5,8,47,96
3,9,0,11
7,10,84,156
5,8,33,75
3,7,31,58
7,8,83,137
5,10,34,71
3,4,14,22
7,10,70,153
5,10,31,39
3,9,0,1
7,8,71,142
5,10,17,48
3,6,16,44
7,9,80,182
5,7,43,79
3,10,9,13
7,8,71,146
5,7,33,71
3,8,2,11
7,9,98,163
5,9,17,47
3,5,20,20
7,8,107,129
5,9,23,64
3,9,5,19
7,9,65,141
5,9,62,105
3,7,5,30
7,10,110,181
5,6,22,47
3,4,30,43
7,9,74,137
5,6,39,66
3,9,8,13
7,10,53,129
5,8,24,58
3,6,8,29
7,8,111,179
5,8,42,93
3,10,4,17
7,10,107,181
5,8,49,95
3,8,3,17
7,8,98,142
5,10,35,63
3,5,12,23
7,10,90,140
5,10,35,65
3,10,16,26
7,8,89,127
5,10,19,62
3,7,9,33
7,9,38,90
5,7,20,59
3,4,13,16
7,8,128,178
5,7,60,114
3,9,18,37
7,9,74,162
5,9,33,64
3,6,14,15
7,8,88,133
5,9,34,69
3,4,23,24
7,9,89,162
5,9,23,90
3,8,16,19
7,10,77,158
5,6,48,58
3,5,2,16
7,9,58,107
5,6,43,70
3,10,4,10
7,10,99,177
5,8,40,59
3,7,11,28
7,9,71,145
5,8,88,140
3,4,10,17
7,10,106,205
5,8,53,106
3,9,22,48
7,8,83,152
5,10,37,84
3,6,12,36
7,10,41,118
5,10,30,76
3,4,22,22
7,8,198,245
5,7,50,65
3,8,0,17
7,9,72,115
5,7,104,135
3,5,22,32
7,8,86,128
5,7,45,62
3,10,1,14
7,9,121,193
5,9,9,52
3,7,11,37
7,8,116,150
5,9,46,82
3,5,26,51
7,9,73,162
5,9,31,70
3,9,9,13
7,10,45,112
5,6,72,100
3,6,24,30
7,9,91,158
5,6,64,107
3,4,14,21
7,10,107,175
5,8,41,75
8,9,89,166
6,8,43,102
4,10,12,35
8,10,119,161
6,7,55,105
4,5,34,41
8,10,95,177
6,10,53,127
4,7,12,42
8,9,110,175
6,8,75,123
4,8,11,37
8,9,134,185
6,7,80,104
4,10,23,56
8,10,120,197
6,10,65,126
4,5,42,67
8,9,112,206
6,8,36,73
4,6,27,45
8,9,115,206
6,7,43,111
4,8,27,38
8,10,151,264
6,9,49,144
4,9,11,36
8,10,103,180
6,8,35,68
4,10,26,54
8,9,94,193
6,7,56,88
4,6,27,58
8,10,136,215
6,9,45,95
4,7,15,42
8,10,139,230
6,8,73,73
4,9,1,14
8,9,125,173
6,10,42,91
4,10,34,64
8,10,120,189
6,9,21,77
4,5,39,57
8,10,71,142
6,8,87,107
4,7,10,36
8,9,127,193
6,10,43,73
4,8,11,37
8,9,171,236
6,9,75,118
4,10,25,58
8,10,201,294
6,7,65,121
4,5,43,61
8,9,173,240
6,10,35,89
4,6,23,46
8,9,154,223
6,9,44,85
4,8,0,12
8,10,132,235
6,7,31,48
4,9,26,76
8,10,119,232
6,10,64,103
4,5,19,39
8,9,129,188
6,9,71,121
4,6,17,22
8,10,68,150
6,7,59,99
4,7,5,23
8,10,116,181
6,10,46,108
4,9,20,36
8,9,96,165
6,8,88,140
4,10,16,43
8,9,89,149
6,7,41,99
4,5,21,34
8,10,135,236
6,10,47,117
4,7,11,37
8,9,159,238
6,8,88,128
4,8,7,31
8,9,133,201
6,7,103,143
4,10,2,6
8,10,127,191
6,9,91,120
4,5,62,90
8,9,97,194
6,8,98,138
4,6,26,49
8,9,122,198
6,7,85,115
4,8,0,14
8,10,109,192
6,9,53,126
4,9,11,35
8,10,111,216
6,8,40,72
4,5,38,62
8,9,140,240
6,7,81,127
4,6,14,36
8,10,88,153
6,9,47,113
4,7,24,52
8,10,152,217
6,8,73,121
4,9,4,15
8,9,140,221
6,10,105,177
4,10,11,30
8,9,128,221
6,9,60,113
4,5,49,61
8,10,166,264
6,8,78,122
4,7,6,35
8,9,219,270
6,10,56,93
3,6,6,17
7,10,86,139
5,9,44,83
3,4,17,25
7,8,28,90
5,6,73,94
3,8,2,17
7,9,44,115
5,6,45,71
3,5,16,28
7,8,94,161
5,6,53,69
3,10,7,25
7,9,117,177
5,8,75,93
3,7,16,27
7,8,115,179
5,8,11,40
3,5,20,24
7,9,58,157
5,8,36,53
3,9,3,19
7,10,79,170
5,10,53,116
3,6,9,21
7,9,94,155
5,10,25,63
3,4,20,37
7,10,62,127
5,7,48,81
3,8,2,9
7,9,108,139
5,7,75,128
3,5,23,23
7,10,102,170
5,7,39,84
3,10,0,12
7,8,170,215
5,9,48,67
3,7,0,1
7,10,75,129
5,9,45,79
3,5,1,16
7,8,100,202
5,6,43,75
3,9,6,19
7,10,135,212
5,6,53,67
3,6,3,14
7,8,122,190
5,6,34,66
3,4,4,11
7,9,116,167
5,8,43,94
3,8,4,16
7,8,85,146
5,8,35,79
3,6,12,35
7,9,109,196
5,10,17,66
3,10,0,9
7,10,79,160
5,10,32,83
3,7,10,21
7,9,85,142
5,10,27,71
3,5,7,9
7,10,45,115
5,7,44,103
3,9,2,8
7,9,39,123
5,7,38,73
3,7,0,1
7,10,108,187
5,7,64,76
3,4,4,9
7,8,154,231
5,9,51,91
3,8,5,21
7,10,71,151
5,9,50,86
3,6,5,17
7,8,55,145
5,6,42,89
3,10,0,11
7,10,61,143
5,6,45,68
3,7,11,19
7,8,118,209
5,6,55,94
3,5,7,26
7,9,138,173
5,8,29,88
3,9,0,14
7,8,54,132
5,8,14,66
3,7,16,24
7,9,69,113
5,10,20,72
3,4,21,26
7,10,88,165
5,10,3,15
3,8,1,15
7,9,84,147
5,10,52,104
3,6,30,54
7,10,88,206
5,7,35,58
3,10,4,20
7,9,69,155
5,7,27,48
3,8,23,40
7,10,60,126
5,7,36,68
3,5,10,18
7,8,148,206
5,9,35,89
3,9,5,16
7,10,49,125
5,9,16,58
3,7,6,15
7,8,151,207
5,6,110,123
3,4,11,11
7,10,102,151
5,6,52,92
3,8,4,17
7,8,122,194
4,9,5,16
8,10,113,196
6,10,84,149
4,5,41,65
8,9,83,130
6,8,48,108
4,6,10,29
8,9,114,196
6,7,30,69
4,8,0,18
8,10,102,186
6,10,73,140
4,9,26,41
8,9,153,211
6,8,70,135
4,10,4,32
8,9,169,238
6,7,60,110
4,6,47,83
8,10,98,147
6,9,91,147
4,7,16,28
8,10,80,145
6,8,69,130
4,8,9,38
8,9,122,188
6,7,27,71
4,10,12,34
8,10,99,185
6,9,60,103
4,5,34,48
8,10,198,257
6,8,35,87
4,7,30,59
8,9,168,252
6,10,24,74
4,8,19,52
8,9,68,141
6,9,52,89
4,9,9,16
8,10,130,216
6,8,59,145
4,5,64,84
8,9,126,185
6,10,45,94
4,6,12,38
8,9,112,184
6,9,27,75
4,8,19,29
8,10,160,244
6,7,100,149
4,9,34,74
8,9,103,188
6,10,24,66
4,10,0,4
8,9,132,223
6,9,45,88
4,6,15,63
8,10,165,257
6,7,53,115
4,7,36,37
8,10,160,245
6,10,43,93
4,9,1,19
8,9,134,196
6,9,77,140
4,10,13,52
8,10,113,204
6,7,80,124
4,5,35,92
8,10,130,246
6,10,36,98
4,7,16,24
8,9,184,244
6,8,78,134
4,8,10,19
8,9,97,207
6,7,88,134
4,9,3,14
8,10,121,213
6,10,47,99
4,5,40,58
8,9,122,206
6,8,71,134
4,6,46,50
8,9,123,166
6,7,96,158
4,8,40,65
8,10,107,180
6,9,33,102
4,9,4,20
8,9,98,180
6,8,73,107
4,10,8,20
8,9,178,260
6,7,82,137
4,6,16,28
8,10,127,214
6,9,40,84
4,7,20,51
8,10,76,168
6,8,69,141
4,9,17,47
8,9,195,262
6,7,64,109
4,10,15,41
8,10,112,208
6,9,80,143
4,5,38,71
8,10,135,236
6,8,58,102
4,7,18,37
8,9,139,204
6,10,30,97
4,8,35,69
8,9,103,184
6,9,48,83
4,9,2,14
8,10,140,190
6,8,73,122
4,5,11,49
8,9,92,176
6,10,65,123
4,6,19,41
8,9,164,256
6,9,62,124
4,8,11,18
8,10,137,222
5,9,34,55
3,4,28,30
7,10,67,117
5,9,34,75
3,8,6,28
7,9,71,156
5,9,34,84
3,6,2,15
7,10,84,140
5,6,58,71
3,10,0,26
7,9,63,149
5,6,66,85
3,8,0,10
7,10,85,178
5,8,45,86
3,5,5,14
7,8,95,164
5,8,35,66
3,9,7,21
7,10,79,128
5,8,31,44
3,7,2,11
7,8,148,214
5,10,42,97
3,4,7,23
7,10,56,137
5,10,15,63
3,9,10,24
7,8,95,150
5,10,29,74
3,6,11,15
7,9,130,198
5,7,5,36
3,10,4,4
7,8,72,112
5,7,10,40
3,8,0,1
7,9,70,117
5,9,42,78
3,5,14,33
7,8,78,153
5,9,37,76
3,9,0,6
7,9,90,146
5,9,16,42
3,7,1,7
7,10,131,235
5,6,54,87
3,4,5,8
7,9,104,170
5,6,102,106
3,9,7,19
7,10,103,192
5,8,18,52
3,6,1,15
7,8,88,118
5,8,40,73
3,10,7,15
7,10,71,121
5,8,48,100
3,8,9,30
7,8,106,158
5,10,7,35
3,5,13,33
7,10,70,153
5,10,31,61
3,10,2,16
7,8,95,161
5,10,44,89
3,7,15,26
7,9,73,111
5,7,48,59
3,4,12,30
7,8,73,132
5,7,32,90
3,9,3,13
7,9,149,218
5,9,29,58
3,6,15,19
7,8,85,192
5,9,12,55
3,10,1,9
7,9,74,154
5,9,51,85
3,8,13,17
7,10,70,148
5,6,66,82
3,5,9,9
7,9,68,106
5,6,67,99
3,10,3,11
7,10,79,125
5,8,40,73
3,7,0,13
7,8,156,188
5,8,51,82
3,4,23,39
7,10,37,117
5,8,20,47
3,9,11,27
7,8,78,175
5,10,17,51
3,6,4,13
7,10,65,121
5,10,34,78
3,4,23,39
7,8,169,233
5,10,37,68
3,8,0,3
7,9,144,207
5,7,54,79
3,5,10,15
7,8,128,155
5,7,41,88
3,10,0,20
7,9,67,141
5,9,19,63
3,7,0,0
7,8,80,142
5,9,29,91
3,4,2,13
7,9,117,166
5,9,56,98
3,9,3,7
7,10,77,118
5,6,46,75
3,6,9,31
6,8,65,115
4,10,16,41
8,9,155,233
6,7,47,93
4,6,47,66
8,10,140,212
6,9,45,104
4,7,6,23
8,9,110,173
6,8,82,158
4,8,35,54
8,9,126,193
6,7,77,137
4,10,12,44
8,10,111,182
6,9,56,85
4,5,13,37
8,10,128,214
6,8,55,127
4,7,15,41
8,9,171,262
6,7,74,129
4,8,28,39
8,10,154,236
